Description	Price	Prime	URL	Stars
Samsung Galaxy Chromebook Go, Computer Portatile XE340XDA-KA1IT Chrome OS, Processore Intel Celeron, Display Screen 14” Full HD LED, RAM 4GB, Memoria eMMC 64GB, USB-C, Silver (Versione Italiana)	225,	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTozOTIxNjQ5Nzc4NDI1MzI2OjE3MzIxMDM5Mzg6c3BfYXRmOjMwMDM5Mjg4MDI5MDQzMjo6MDo6&url=%2FChromebook-Computer-Portatile-XE340XDA-KA1IT-Processore%2Fdp%2FB09BN3MFH8%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.gA4siWU0wWiXh_cfFrLaQaQNbINXeXTLPlRpqEv4oe2HEsbGArmZcpxgKvvsg9k98E0I02TuBNDZesrQV5tBVxXn8_sjhkxJWas8blmwPx_xDOEF7FrgP7h1fQG_WHmzGzl_Wl_yNMAnWtTwo40iC4Wfo3hrlKlxwf8EWbh3tF5DS3zcqf57LbBL335lnSY0dbud6l-lrZo4TsMMtWqSwGtzGi6chOEjFwUxmWc6C6MrtGShakxTJ_T8Niel_SPc85JcmocD_e0By_71aBi4yY8aaz-WmvmVpzgao5KpStE.gs-NBpRUmF-gOZhV_qx7YrwP0xzrkhGuTRpwxwBcDwM%26dib_tag%3Dse%26keywords%3Dcomputer%26nsdOptOutParam%3Dtrue%26qid%3D1732103938%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1	4,3 su 5 stelle
"HP 250 G9 Computer portatile Display 15.6"" 1366 x 768 Pixel Intel N4500 8 GB DDR4-SDRAM 256GB SSD Wi-Fi OPEN OFFICE W11"	279,	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTozOTIxNjQ5Nzc4NDI1MzI2OjE3MzIxMDM5Mzg6c3BfYXRmOjMwMDI3MDQ3ODkzNjczMjo6MDo6&url=%2FHP-250-G9-portatile-DDR4-SDRAM%2Fdp%2FB0CV14JFZ6%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.gA4siWU0wWiXh_cfFrLaQaQNbINXeXTLPlRpqEv4oe2HEsbGArmZcpxgKvvsg9k98E0I02TuBNDZesrQV5tBVxXn8_sjhkxJWas8blmwPx_xDOEF7FrgP7h1fQG_WHmzGzl_Wl_yNMAnWtTwo40iC4Wfo3hrlKlxwf8EWbh3tF5DS3zcqf57LbBL335lnSY0dbud6l-lrZo4TsMMtWqSwGtzGi6chOEjFwUxmWc6C6MrtGShakxTJ_T8Niel_SPc85JcmocD_e0By_71aBi4yY8aaz-WmvmVpzgao5KpStE.gs-NBpRUmF-gOZhV_qx7YrwP0xzrkhGuTRpwxwBcDwM%26dib_tag%3Dse%26keywords%3Dcomputer%26nsdOptOutParam%3Dtrue%26qid%3D1732103938%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1	4,2 su 5 stelle
"Postazione PC COMPLETA, Processore i5, Ram 16Gb, SSD 256Gb, Wi-Fi, sistema operativo attivo a vita - Pronto all'uso con programmi installati - Tastiera, mouse e MONITOR 23"" RICONDIZIONATO"	215,	False	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTozOTIxNjQ5Nzc4NDI1MzI2OjE3MzIxMDM5Mzg6c3BfYXRmOjMwMDMyMjYyNzMwODMzMjo6MDo6&url=%2FPostazione-COMPLETA-Processore-sistema-operativo%2Fdp%2FB0DCBXB54H%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.gA4siWU0wWiXh_cfFrLaQaQNbINXeXTLPlRpqEv4oe2HEsbGArmZcpxgKvvsg9k98E0I02TuBNDZesrQV5tBVxXn8_sjhkxJWas8blmwPx_xDOEF7FrgP7h1fQG_WHmzGzl_Wl_yNMAnWtTwo40iC4Wfo3hrlKlxwf8EWbh3tF5DS3zcqf57LbBL335lnSY0dbud6l-lrZo4TsMMtWqSwGtzGi6chOEjFwUxmWc6C6MrtGShakxTJ_T8Niel_SPc85JcmocD_e0By_71aBi4yY8aaz-WmvmVpzgao5KpStE.gs-NBpRUmF-gOZhV_qx7YrwP0xzrkhGuTRpwxwBcDwM%26dib_tag%3Dse%26keywords%3Dcomputer%26nsdOptOutParam%3Dtrue%26qid%3D1732103938%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1	5,0 su 5 stelle
"Lenovo, Pc portatile notebook pronto all'uso, Display FHD da 15,6"", cpu N4500, ram 16Gb, ssd Nvme 750Gb, windows 11 pro, Office 2021 + Mouse Wifi"	487,	True	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTozOTIxNjQ5Nzc4NDI1MzI2OjE3MzIxMDM5Mzg6c3BfYXRmOjIwMTU3MjQ3NDM4Mjk4OjowOjo&url=%2FNotebook-Lenovo-Display-pollici-Windows%2Fdp%2FB08KH8GLGC%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.gA4siWU0wWiXh_cfFrLaQaQNbINXeXTLPlRpqEv4oe2HEsbGArmZcpxgKvvsg9k98E0I02TuBNDZesrQV5tBVxXn8_sjhkxJWas8blmwPx_xDOEF7FrgP7h1fQG_WHmzGzl_Wl_yNMAnWtTwo40iC4Wfo3hrlKlxwf8EWbh3tF5DS3zcqf57LbBL335lnSY0dbud6l-lrZo4TsMMtWqSwGtzGi6chOEjFwUxmWc6C6MrtGShakxTJ_T8Niel_SPc85JcmocD_e0By_71aBi4yY8aaz-WmvmVpzgao5KpStE.gs-NBpRUmF-gOZhV_qx7YrwP0xzrkhGuTRpwxwBcDwM%26dib_tag%3Dse%26keywords%3Dcomputer%26nsdOptOutParam%3Dtrue%26qid%3D1732103938%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1	4,0 su 5 stelle
PC Portatile 14 Pollici Computer Portatile Win 11 256 GB ROM Celeron N4020 2.4G+5G WiFi upto 2.8 GHz Supporta l'espansione SSD 1TB 4.2 USB HDMI Tastiera Italiana Membrana Mouse Senza Fili-Argento	199,	True	https://www.amazon.it/Portatile-Computer-Supporta-lespansione-Fili-Argento/dp/B0D8W8J3JH/ref=sr_1_5?dib=eyJ2IjoiMSJ9.gA4siWU0wWiXh_cfFrLaQaQNbINXeXTLPlRpqEv4oe2HEsbGArmZcpxgKvvsg9k98E0I02TuBNDZesrQV5tBVxXn8_sjhkxJWas8blmwPx_xDOEF7FrgP7h1fQG_WHmzGzl_Wl_yNMAnWtTwo40iC4Wfo3hrlKlxwf8EWbh3tF5DS3zcqf57LbBL335lnSY0dbud6l-lrZo4TsMMtWqSwGtzGi6chOEjFwUxmWc6C6MrtGShakxTJ_T8Niel_SPc85JcmocD_e0By_71aBi4yY8aaz-WmvmVpzgao5KpStE.gs-NBpRUmF-gOZhV_qx7YrwP0xzrkhGuTRpwxwBcDwM&dib_tag=se&keywords=computer&nsdOptOutParam=true&qid=1732103938&sr=8-5	4,9 su 5 stelle
PC fisso Computer desktop - Intel Core I7 4770 - Ram 32 GB - SSD 1 TB - Intel HD 4600 - masterizzatore - Wi-Fi interno - Windows 11 Pro - HDMI -VGA - DVI - 6 x USB 2.0-3 x USB 3.0	519,	True	https://www.amazon.it/PC-fisso-Computer-desktop-masterizzatore/dp/B0BBWFCGFH/ref=sr_1_6?dib=eyJ2IjoiMSJ9.gA4siWU0wWiXh_cfFrLaQaQNbINXeXTLPlRpqEv4oe2HEsbGArmZcpxgKvvsg9k98E0I02TuBNDZesrQV5tBVxXn8_sjhkxJWas8blmwPx_xDOEF7FrgP7h1fQG_WHmzGzl_Wl_yNMAnWtTwo40iC4Wfo3hrlKlxwf8EWbh3tF5DS3zcqf57LbBL335lnSY0dbud6l-lrZo4TsMMtWqSwGtzGi6chOEjFwUxmWc6C6MrtGShakxTJ_T8Niel_SPc85JcmocD_e0By_71aBi4yY8aaz-WmvmVpzgao5KpStE.gs-NBpRUmF-gOZhV_qx7YrwP0xzrkhGuTRpwxwBcDwM&dib_tag=se&keywords=computer&nsdOptOutParam=true&qid=1732103938&sr=8-6	4,5 su 5 stelle
"HP 250 G9 Computer portatile 39,6 cm (15.6"") 1366 x 768 Pixel Intel N4500 8 GB DDR4-SDRAM 256 GB SSD Wi-Fi Windows 11 Professional"	263,	False	https://www.amazon.it/HP-255-G8-portatile-DDR4-SDRAM/dp/B08T9V1FG9/ref=sr_1_7_mod_primary_new?dib=eyJ2IjoiMSJ9.gA4siWU0wWiXh_cfFrLaQaQNbINXeXTLPlRpqEv4oe2HEsbGArmZcpxgKvvsg9k98E0I02TuBNDZesrQV5tBVxXn8_sjhkxJWas8blmwPx_xDOEF7FrgP7h1fQG_WHmzGzl_Wl_yNMAnWtTwo40iC4Wfo3hrlKlxwf8EWbh3tF5DS3zcqf57LbBL335lnSY0dbud6l-lrZo4TsMMtWqSwGtzGi6chOEjFwUxmWc6C6MrtGShakxTJ_T8Niel_SPc85JcmocD_e0By_71aBi4yY8aaz-WmvmVpzgao5KpStE.gs-NBpRUmF-gOZhV_qx7YrwP0xzrkhGuTRpwxwBcDwM&dib_tag=se&keywords=computer&nsdOptOutParam=true&qid=1732103938&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-7	4,4 su 5 stelle
HP, Pc Desktop Pronto All'Uso, Computer Pc Fisso Intel i7, Ram 16Gb, SSD 512Gb, Pacchetto Libre Office, Windows 10 Pro (Ricondizionato)	138,	False	https://www.amazon.it/HP-Desktop-Computer-Pacchetto-Ricondizionato/dp/B0BT1Q51TP/ref=sr_1_8?dib=eyJ2IjoiMSJ9.gA4siWU0wWiXh_cfFrLaQaQNbINXeXTLPlRpqEv4oe2HEsbGArmZcpxgKvvsg9k98E0I02TuBNDZesrQV5tBVxXn8_sjhkxJWas8blmwPx_xDOEF7FrgP7h1fQG_WHmzGzl_Wl_yNMAnWtTwo40iC4Wfo3hrlKlxwf8EWbh3tF5DS3zcqf57LbBL335lnSY0dbud6l-lrZo4TsMMtWqSwGtzGi6chOEjFwUxmWc6C6MrtGShakxTJ_T8Niel_SPc85JcmocD_e0By_71aBi4yY8aaz-WmvmVpzgao5KpStE.gs-NBpRUmF-gOZhV_qx7YrwP0xzrkhGuTRpwxwBcDwM&dib_tag=se&keywords=computer&nsdOptOutParam=true&qid=1732103938&sr=8-8	4,2 su 5 stelle
PC fisso Computer desktop - Intel Core I7 4770 - Ram 32 GB - SSD 1 TB - Scheda Video Nvidia GT 730 4 GB - Masterizzatore DVD - WIFI interno - Windows 11 Pro - HDMI - VGA	599,	True	https://www.amazon.it/PC-fisso-Computer-desktop-Masterizzatore/dp/B0BBWFXPSW/ref=sr_1_9?dib=eyJ2IjoiMSJ9.gA4siWU0wWiXh_cfFrLaQaQNbINXeXTLPlRpqEv4oe2HEsbGArmZcpxgKvvsg9k98E0I02TuBNDZesrQV5tBVxXn8_sjhkxJWas8blmwPx_xDOEF7FrgP7h1fQG_WHmzGzl_Wl_yNMAnWtTwo40iC4Wfo3hrlKlxwf8EWbh3tF5DS3zcqf57LbBL335lnSY0dbud6l-lrZo4TsMMtWqSwGtzGi6chOEjFwUxmWc6C6MrtGShakxTJ_T8Niel_SPc85JcmocD_e0By_71aBi4yY8aaz-WmvmVpzgao5KpStE.gs-NBpRUmF-gOZhV_qx7YrwP0xzrkhGuTRpwxwBcDwM&dib_tag=se&keywords=computer&nsdOptOutParam=true&qid=1732103938&sr=8-9	4,3 su 5 stelle
PC fisso Computer Gaming - AMD Ryzen 5-4500 - Ram 32 GB DDR4 - M2 NVME 1 TB - AMD Radeon RX 580 8 GB - WiFi Interno - Windows 11 Pro	699,	True	https://www.amazon.it/PC-fisso-Computer-Gaming-Interno/dp/B0BPB9HSYT/ref=sr_1_10?dib=eyJ2IjoiMSJ9.gA4siWU0wWiXh_cfFrLaQaQNbINXeXTLPlRpqEv4oe2HEsbGArmZcpxgKvvsg9k98E0I02TuBNDZesrQV5tBVxXn8_sjhkxJWas8blmwPx_xDOEF7FrgP7h1fQG_WHmzGzl_Wl_yNMAnWtTwo40iC4Wfo3hrlKlxwf8EWbh3tF5DS3zcqf57LbBL335lnSY0dbud6l-lrZo4TsMMtWqSwGtzGi6chOEjFwUxmWc6C6MrtGShakxTJ_T8Niel_SPc85JcmocD_e0By_71aBi4yY8aaz-WmvmVpzgao5KpStE.gs-NBpRUmF-gOZhV_qx7YrwP0xzrkhGuTRpwxwBcDwM&dib_tag=se&keywords=computer&nsdOptOutParam=true&qid=1732103938&sr=8-10	4,3 su 5 stelle
